mol_no,input,output,reaction_type
3,Cc1cc(C[C@@H](OC(=O)N2CCC(N3CCc4ccccc4NC3=O)CC2)C(=O)N2CCC(C3CCN(S(C)(=O)=O)CC3)CC2)cc2nc[nH]c12,CS(=O)(=O)N1CCC(C2CCNCC2)CC1.Cc1cc(C[C@@H](OC(=O)N2CCC(N3CCc4ccccc4NC3=O)CC2)C(=O)O)cc2nc[nH]c12,2
14,COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CNC2)nc1N,COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CN(C(=O)OC(C)(C)C)C2)nc1N,6
29,COC=Cc1cccc(OC)c1OC,COC[P+](c1ccccc1)(c1ccccc1)c1ccccc1.COc1cccc(C=O)c1OC,3
31,CCCN(CCC)C(=O)n1cnc(S(=O)C(C)C)n1,CC(C)S(=O)c1nc[nH]n1.CCCN(CCC)C(=O)Cl,1
33,O=C(c1ccc([N+](=O)[O-])cc1)N1CCc2cc(S(=O)(=O)N3C[C@H](c4ccccc4)NC3=O)ccc21,O=C(Cl)c1ccc([N+](=O)[O-])cc1.O=C1N[C@@H](c2ccccc2)CN1S(=O)(=O)c1ccc2c(c1)CCN2,2
35,CCC(C)COC(C)=O,CC(=O)Cl.CCC(C)CO,2
39,Cc1ccc(S(=O)(=O)O)cc1,CC1(N)CCN(C(=O)OC(C)(C)C)CC1,6
76,COc1ccc(C(=O)c2sc(C(C)C)cc2O)cc1,COc1ccc(C(=O)c2sc(C(C)C)cc2OCc2ccccc2)cc1,6
80,CN(C(=O)OC(C)(C)C)[C@@H](C=O)Cc1ccccc1,CN(C(=O)OC(C)(C)C)[C@@H](CO)Cc1ccccc1,8
88,CCN(CC)C(=O)c1ccc(OC)cc1-c1ncccc1C,CCN(CC)C(=O)c1ccc(OC)cc1B(O)O.Cc1cccnc1Br,3
92,CC1CCCC(C)(C)C1CCC(C)[N+](C)(C)C,CC1CCCC(C)(C)C1CCC(C)N(C)C.CI,1
96,COc1cccc(NC(=O)c2ccccc2C)c1,COc1cccc(N)c1.Cc1ccccc1C(=O)Cl,2
101,COc1cc(S(=O)(=O)N2CCC3(CC2)CN(C2CC2)C(=O)CO3)ccc1Br,COc1cc(S(=O)(=O)Cl)ccc1Br.O=C1COC2(CCNCC2)CN1C1CC1,2
106,CCCCC1CN(CCc2ccccc2)CCC1=NO,CCCCC1CN(CCc2ccccc2)CCC1=O.NO,9
107,COc1cc([N+](=O)[O-])ccc1NC(=O)OCc1ccccc1,COc1cc([N+](=O)[O-])ccc1N.O=C(Cl)OCc1ccccc1,2
108,CSc1ccccc1CN1CCC(=O)C(C(c2ccccc2)c2ccccc2)C1,CSc1ccccc1CO.O=C1CCNCC1C(c1ccccc1)c1ccccc1,1
119,COC(=O)c1cccc(C(=O)N2CCC(CCN3C4CCC3CC(n3c(C)nc5ccccc53)C4)(c3ccccc3)CC2)c1,COC(=O)c1cccc(C(=O)O)c1.Cc1nc2ccccc2n1C1CC2CCC(C1)N2CCC1(c2ccccc2)CCNCC1,2
251,CC(C)[C@H](N)[C@H](O)C(F)(F)F,CC(C)[C@H](NC(=O)OCc1ccccc1)[C@H](O)C(F)(F)F,6
259,COc1ccc(-c2cc3c(cn2)CN(C(C)=O)c2ccccc2C=C3)cn1,COc1ccc(-c2nc3c(cc2F)CN(C(C)=O)c2ccccc2C=C3)cn1,3
263,CSc1ccc(Nc2cc(-c3nnc(C(C)(C)OC(C)=O)o3)ccn2)cc1,CSc1ccc(Nc2cc(C(=O)NNC(=O)C(C)(C)OC(C)=O)ccn2)cc1,4
290,CC(=O)N[C@H]1CC[C@H](NC(=O)c2c(C)[nH]c3c(-c4cc(C(F)F)ccc4OCC4CC4)ncnc23)[C@@H](C)C1,CC(=O)Cl.Cc1[nH]c2c(-c3cc(C(F)F)ccc3OCC3CC3)ncnc2c1C(=O)N[C@H]1CC[C@H](N)C[C@@H]1C,2
303,CCOC(=O)c1ccc2c(c1)cc(C(=O)OCC)n2C,CCOC(=O)c1ccc2[nH]c(C(=O)OCC)cc2c1.CI,1
304,COc1ccc(SCCCN(C)CCCN2CCc3cc(OC)c(OC)cc3CC2=O)cc1OC,CNCCCN1CCc2cc(OC)c(OC)cc2CC1=O.COc1ccc(SCCCCl)cc1OC,1
311,NCc1cn(-c2ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc2)nn1,C#CCN.[N-]=[N+]=Nc1ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc1,4
