,input,output,reaction_type
119,COC(=O)c1cccc(C(=O)N2CCC(CCN3C4CCC3CC(n3c(C)nc5ccccc53)C4)(c3ccccc3)CC2)c1,COC(=O)c1cccc(C(=O)O)c1.Cc1nc2ccccc2n1C1CC2CCC(C1)N2CCC1(c2ccccc2)CCNCC1,2
290,CC(=O)N[C@H]1CC[C@H](NC(=O)c2c(C)[nH]c3c(-c4cc(C(F)F)ccc4OCC4CC4)ncnc23)[C@@H](C)C1,CC(=O)Cl.Cc1[nH]c2c(-c3cc(C(F)F)ccc3OCC3CC3)ncnc2c1C(=O)N[C@H]1CC[C@H](N)C[C@@H]1C,2
346,CCC(C)N1CC(c2c(C)c(Cl)cc(C(C)n3nc(C)c4c(N)ncnc43)c2OC)C1,CCC(C)=O.COc1c(C(C)n2nc(C)c3c(N)ncnc32)cc(Cl)c(C)c1C1CNC1,1
483,Cc1c(-c2ccccc2)c2c(c3c1[nH]c1ccc(O)cc13)C(=O)NC2=O,COc1ccc2[nH]c3c(C)c(-c4ccccc4)c4c(c3c2c1)C(=O)NC4=O,6
1618,COc1ccc(N(C(=O)CN2C(=O)Cc3nnc(C4CCCCC4)n3-c3ccccc32)C(C)C)cn1,COc1ccc(N(C(=O)CBr)C(C)C)cn1.O=C1Cc2nnc(C3CCCCC3)n2-c2ccccc2N1,1
2310,CN1CCN(Cc2c(CO)c(Cl)nc3cc4c(cc23)OCCO4)CC1,COC(=O)c1c(Cl)nc2cc3c(cc2c1CN1CCN(C)CC1)OCCO3,7
2625,CCOC(=O)/C=C/c1c(O)c(=O)[nH]c2cc(Cl)ccc2c1=O,CCOC(=O)C=Cc1c(OC)c(=O)[nH]c2cc(Cl)ccc2c1=O,6
3027,CCC(CC)(c1ccc(OCC(O[Si](C)(C)C(C)(C)C)C(C)(C)C)c(C)c1)c1cc(C)c(CO)s1,CCC(CC)(c1ccc(OCC(O[Si](C)(C)C(C)(C)C)C(C)(C)C)c(C)c1)c1cc(C)c(C(=O)OC)s1,7
3333,NC(=O)c1ccsc1-c1n[nH]c2c(F)c(-c3ccc(N)c(F)c3)ccc12,CC(C)(C)OC(=O)Nc1ccc(-c2ccc3c(-c4sccc4C(N)=O)n[nH]c3c2F)cc1F,6
3381,CCn1cc(-c2cccc(NC(=O)Nc3ccccc3Cl)c2)c(-c2ccncc2)n1,CCn1cc(-c2cccc(N)c2)c(-c2ccncc2)n1.O=C=Nc1ccccc1Cl,2
3399,CCCO[C@H]1CCC[C@H]([NH3+])C(=O)O[C@@H](C)[C@@H]1CCC(C)C,CCCO[C@H]1CCC[C@H](NC(=O)OC(C)(C)C)C(=O)O[C@@H](C)[C@@H]1CCC(C)C.ClCCl,6
3448,Cc1cc(Cl)cnc1C(=O)Nc1ccc(F)c(C2(C)CC(C(F)(F)F)OC(N)=N2)c1,Cc1cc(Cl)cnc1C(=O)Nc1ccc(F)c([C@]2(C)C[C@@H](C(F)(F)F)OC(NC(=O)c3ccccc3)=N2)c1,6
3460,CNc1nc(C2(C(=O)O)C=CON2)cs1,CCOC(=O)C1(c2csc(NC)n2)C=CON1,6
3464,C=CCO[C@H]1CN(c2nc(-c3ncnn3C)c(C(=O)OC)s2)CC[C@H]1NC(=O)c1[nH]c(C)c(Cl)c1Cl,C=CCO[C@H]1CNCC[C@H]1NC(=O)c1[nH]c(C)c(Cl)c1Cl.COC(=O)c1sc(Cl)nc1-c1ncnn1C,1
3481,CCCCCCCCC(CC)Nc1ncnc(CC)c1Cl,CCCCCCCCC(N)CC.CCc1ncnc(Cl)c1Cl,1
3495,CC(=O)NC(CSC(=O)c1ccc(C)cc1)C(=O)O,CC(=O)N[C@@H](CS)C(=O)O.Cc1ccc(C(=O)Cl)cc1,1
3497,COC1Cc2c(C)c(O)c(C)c(C)c2OC12CCC2,CI.Cc1c(C)c2c(c(C)c1O)CC(O)C1(CCC1)O2,1
3532,CC1CCCCC1Nc1c(C(F)(F)F)cc([N+](=O)[O-])c2nc(C(F)(F)F)[nH]c12,CC1CCCCC1N.O=[N+]([O-])c1cc(C(F)(F)F)c(Cl)c2[nH]c(C(F)(F)F)nc12,1
3548,Cc1c(NC(=O)c2ccccc2F)cn2ncc(C#N)c(Nc3ccc(Oc4ccccc4)cc3)c12,Cc1c(N)cn2ncc(C#N)c(Nc3ccc(Oc4ccccc4)cc3)c12.O=C(O)c1ccccc1F,2
3767,CN(C1(C(=O)O)CCCC1)S(=O)(=O)c1ccc2c(Cl)cnc(NC(=N)N)c2c1,CCOC(=O)C1(N(C)S(=O)(=O)c2ccc3c(Cl)cnc(NC(=N)N)c3c2)CCCC1,6
3771,COc1ccc(Nc2nc(N3CCC(NC(=O)c4ccc5[nH]ncc5c4)C3)nc3scnc23)cc1OC,COc1ccc(Nc2nc(N3CCC(N)C3)nc3scnc23)cc1OC.O=C(O)c1ccc2[nH]ncc2c1,2
3815,Cc1ccccc1[C@H](C/C(=N\O)C1CCC(=O)N(C)C1)c1ccc(N2CCC(C(=O)[O-])CC2)cc1,Cc1ccccc1[C@H](CC(=O)C1CCC(=O)N(C)C1)c1ccc(N2CCC(C(=O)[O-])CC2)cc1.NO,9
4313,CCN1CCc2cc(OC)c(OC)cc2C1C1CC(C(=O)N2CCN(c3ncnc4c3cnn4Cc3ccncc3)CC2)CCC12c1cc(OC)c(OC)cc1CCN2C(=O)CCN(C)C=O,CCN1CCc2cc(OC)c(OC)cc2C1C1CC(C(=O)N2CCN(c3ncnc4c3cnn4Cc3ccncc3)CC2)CCC12c1cc(OC)c(OC)cc1CCN2C(=O)CCNC.O=CO,2
4411,CCOCc1nc2c(N)nc3cc(-c4ccccc4)ccc3c2n1CC1CCNCC1,CCOCc1nc2c(N)nc3cc(-c4ccccc4)ccc3c2n1CC1CCN(C(=O)OC(C)(C)C)CC1,6
4661,CC(=O)N1C[C@H](O)C[C@H]1C(=O)N1C[C@@H](N(C)C(=O)C(C)(C)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)[C@H](c2ccccc2)C1,CC(=O)N1C[C@H](O)C[C@H]1C(=O)O.CN(C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@@H]1CNC[C@H]1c1ccccc1,2
4704,COC(=O)C1C(c2c(OC)cc(OC)cc2OC)CC(=O)N1C,CI.COC(=O)C1NC(=O)CC1c1c(OC)cc(OC)cc1OC,1
5143,CCOC(=O)/C=C/c1cc(OC)cc2c1ccc(=O)n2CCN1CCC(NCc2ccc3c(c2)OCCO3)CC1,CCOC(=O)/C=C/c1cc(OC)cc2c1ccc(=O)n2CCN1CCC(N(Cc2ccc3c(c2)OCCO3)C(=O)OC(C)(C)C)CC1,6
5336,CCN1CCC(OC(=O)[C@](O)(c2ccc(Cl)cc2)[C@@H]2CCC(F)(F)C2)CC1,CC=O.O=C(OC1CCNCC1)[C@](O)(c1ccc(Cl)cc1)[C@@H]1CCC(F)(F)C1,1
5382,O=S(=O)(c1ccc(OC(F)(F)F)cc1)N1Cc2ccc(C(F)(F)F)nc2Nc2ccc(I)cc21,FC(F)(F)c1ccc2c(n1)Nc1ccc(I)cc1NC2.O=S(=O)(Cl)c1ccc(OC(F)(F)F)cc1,2
5395,COc1cccc2c1NC(CNC(C)=O)CO2,CC(=O)OC(C)=O.COc1cccc2c1NC(CN)CO2,2
5411,COC(=O)C(C)Nc1c([N+](=O)[O-])cnn1-c1c(Cl)cc(C(F)(F)F)cc1Cl,COC(=O)C(C)Br.Nc1c([N+](=O)[O-])cnn1-c1c(Cl)cc(C(F)(F)F)cc1Cl,1
5441,COc1cc(F)ccc1-c1ccc2c(c1COC(=O)c1cccc(N)c1)C(C)=CC(C)(C)N2,COc1cc(F)ccc1-c1ccc2c(c1CO)C(C)=CC(C)(C)N2.Nc1cccc(C(=O)O)c1,2
5467,CC(C)(C)OC(=O)NC1CCCN(C(=O)OCc2ccccc2)C1CC(=O)O,CCOC(=O)CC1C(NC(=O)OC(C)(C)C)CCCN1C(=O)OCc1ccccc1,6
5477,CN1CC2(C1)CN(c1nc(N)ncc1Cl)c1cc(O)ccc12,CN1CC2(CNc3cc(O)ccc32)C1.Nc1ncc(Cl)c(Cl)n1,1
5651,CSCc1cccc(N2CCN(c3cc4nc5c(cc4cc3F)c(=O)c(C(=O)O)cn5C)CC2)c1,CSCc1cccc(N2CCNCC2)c1.Cn1cc(C(=O)O)c(=O)c2cc3cc(F)c(F)cc3nc21,1
5682,CN1C(=S)CSc2cc(N3CC(C(N)=O)OC3=O)ccc21,COC(=O)[C@H]1CN(c2ccc3c(c2)SCC(=S)N3C)C(=O)O1.N,9
5790,CC(C)[C@H](NC(=O)[C@H](C)N(C)C(=O)OC(C)(C)C)C(=O)N1c2ncccc2C[C@H]1CN,CC(C)[C@H](NC(=O)[C@H](C)N(C)C(=O)OC(C)(C)C)C(=O)N1c2ncccc2C[C@H]1CN=[N+]=[N-],9
5894,CN1CCN(CCCNc2ncc3cc(C(=O)Nc4cc(C(=O)NC(CCN)c5ccccc5)ccc4Cl)c(=O)[nH]c3n2)CC1,CN1CCN(CCCNc2ncc3cc(C(=O)Nc4cc(C(=O)NC(CCNC(=O)OC(C)(C)C)c5ccccc5)ccc4Cl)c(=O)[nH]c3n2)CC1,6
6310,COc1ccc(C(Nc2nc3c(ncn3[C@@H]3C[C@H](CO)[C@H]3COC(c3ccccc3)(c3ccc(OC)cc3)c3ccc(OC)cc3)c(=O)[nH]2)(c2ccccc2)c2ccc(OC)cc2)cc1,COc1ccc(C(Nc2nc3c(ncn3[C@@H]3C[C@H](COC(C)=O)[C@H]3COC(c3ccccc3)(c3ccc(OC)cc3)c3ccc(OC)cc3)c(=O)[nH]2)(c2ccccc2)c2ccc(OC)cc2)cc1,6
6575,COC=CC[C@H]1CC[C@H](c2ccc(C#N)cc2)CC1,COC(C)(C)C.N#Cc1ccc([C@H]2CC[C@H](CC=O)CC2)cc1,3
7030,CC(C)(C)OC(=O)N1C[C@H](O[Si](C)(C)C(C)(C)C)CC[C@@H]1CCO,C=C[C@H]1CC[C@@H](O[Si](C)(C)C(C)(C)C)CN1C(=O)OC(C)(C)C.OO,10
7273,CCOC(C)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CO[Si](C)(C)C(C)(C)C)[C@@]4(C)CC[C@@H]32)C1(C)C,C=COCC.C[C@H](CO[Si](C)(C)C(C)(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C(C)(C)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,1
7290,CCN(CC)C(=O)CCCC=C(c1ccc(CCNS(=O)(=O)c2ccc(Cl)cc2)cc1)c1cccnc1,CCNCC.O=C(O)CCCC=C(c1ccc(CCNS(=O)(=O)c2ccc(Cl)cc2)cc1)c1cccnc1,2
7292,CCCCC(CC)COC(=O)CCSc1ccc2c(ccc3nnnn32)c1,Brc1ccc2c(ccc3nnnn32)c1.CCCCC(CC)COC(=O)CCS,1
7315,OC1(c2ccc3ccccc3c2)CC2CCC(C1)N2,OC1(c2ccc3ccccc3c2)CC2CCC(C1)N2Cc1ccccc1,6
7372,CCCCSC(Cc1ccc(Cl)cc1Cl)n1ccnc1,CCCCS.Clc1ccc(CC(Cl)n2ccnc2)c(Cl)c1,1
7388,CN1C(=O)C2(CCCc3cnc(C#CC4CC4)cc32)N=C1N,C#CC1CC1.CN1C(=O)C2(CCCc3cnc(Cl)cc32)N=C1N,3
7428,CN(Cc1ccccc1)C(=O)c1noc([C@H](CCCC2CCCCC2)CC(=O)OC(C)(C)C)n1,CCOC(=O)c1noc([C@H](CCCC2CCCCC2)CC(=O)OC(C)(C)C)n1.CNCc1ccccc1,2
7457,CC(C)N(Cc1cc(C(=O)O)cc2c1OC(C)(C)CC2(C)C)C1CC1,CCOC(=O)c1cc(CN(C(C)C)C2CC2)c2c(c1)C(C)(C)CC(C)(C)O2,6
7665,CC(C)(C)OC(=O)NC(C(=O)c1ccc(OCC2CC2)cc1)c1ccc(Cl)c(Cl)c1,CC(C)(C)OC(=O)NC(C(=O)c1ccc(O)cc1)c1ccc(Cl)c(Cl)c1.OCC1CC1,1
7716,O=Cc1ccc(-c2cc3c(c(C45CC6CC(CC(C6)C4)C5)c2)OCO3)cc1,Brc1cc2c(c(C34CC5CC(CC(C5)C3)C4)c1)OCO2.O=Cc1ccc(B(O)O)cc1,3
7818,COc1ccc(I)c(OCC2CO2)c1,COc1ccc(I)c(O)c1.ClCC1CO1,1
8543,O=C1S/C(=C\c2ccc3c(cnn3Cc3ccc(Cl)cc3C(F)(F)F)c2)C(=O)N1[C@@H]1CCN(CCO)C[C@H]1F,O=C1S/C(=C\c2ccc3c(cnn3Cc3ccc(Cl)cc3C(F)(F)F)c2)C(=O)N1[C@@H]1CCNC[C@H]1F.OCCBr,1
8813,Nc1ncnc2c1c(-c1cccc(OCC3CCCCO3)c1)cn2[C@H]1C[C@@H](CO)C1,CC1(C)OB(c2cccc(OCC3CCCCO3)c2)OC1(C)C.Nc1ncnc2c1c(I)cn2[C@H]1C[C@@H](CO)C1,3
9009,Cn1c(SCC(=O)O)nc2cnc(N3CCC(Oc4cc(F)ccc4Br)CC3)nc21,CCOC(=O)CSc1nc2cnc(N3CCC(Oc4cc(F)ccc4Br)CC3)nc2n1C,6
9255,CCOP(=O)(CCNS(=O)(=O)Cl)OCC,CCOP(=O)(CCN)OCC.O=S(=O)(Cl)Cl,2
9320,Cn1c(=O)oc2cc3c(cc21)OCC31C(=O)N(Cc2ccc(C(F)(F)F)o2)c2ccccc21,Cn1c(=O)oc2cc3c(cc21)OCC31C(=O)Nc2ccccc21.FC(F)(F)c1ccc(CBr)o1,1
9372,CCCCC#Cc1nc(NC(c2ccc(OC)cc2)c2ccc(OC)cc2)c2ncn([C@@H]3C[C@H](n4cc(C)cn4)[C@@H](O)[C@H]3O)c2n1,C#CCCCC.COc1ccc(C(Nc2nc(Cl)nc3c2ncn3[C@@H]2C[C@H](n3cc(C)cn3)[C@@H](O)[C@H]2O)c2ccc(OC)cc2)cc1,3
9411,Cc1nn(C(F)F)cc1S(=O)(=O)N1CC(C(C)(C)O[SiH2]C(C)(C)C)Cc2ncc(NC(=O)OC(C)(C)C)cc21,CC(C)(C)OC(=O)Nc1cnc2c(c1)NCC(C(C)(C)O[SiH2]C(C)(C)C)C2.Cc1nn(C(F)F)cc1S(=O)(=O)Cl,2
9412,COc1cc(F)c(F)cc1-c1ccc(OCC2CCN(C(=O)N(C)CC(=O)NS(C)(=O)=O)C2)cc1,COc1cc(F)c(F)cc1-c1ccc(OCC2CCN(C(=O)N(C)CC(=O)O)C2)cc1.CS(N)(=O)=O,2
9512,CC(C)(C)c1cc(C=O)c(O)c(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1,CC(C)(C)c1cc(Br)c(O)c(C=O)c1.OB(O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,3
9534,CN1CC[C@@](O)(C#Cc2cc(-c3nc(C(N)=O)c(N)cc3F)ccc2F)C1=O,C#C[C@]1(O)CCN(C)C1=O.NC(=O)c1nc(-c2ccc(F)c(Br)c2)c(F)cc1N,3
9703,CNc1c(F)cc2c(=O)c(C(=O)O)cn(-c3nc(NCCO)c(F)cc3F)c2c1Cl,CN.O=C(O)c1cn(-c2nc(NCCO)c(F)cc2F)c2c(Cl)c(F)c(F)cc2c1=O,1
9772,C[C@@H]1C(=O)C(C#N)=C[C@]2(c3cccc(C(=O)O)c3)c3nc(-c4ccccc4)ncc3CC[C@@H]12,COC(=O)c1cccc([C@]23C=C(C#N)C(=O)[C@@H](C)[C@@H]2CCc2cnc(-c4ccccc4)nc23)c1,6
9824,NCCc1cnn2ccc3c(c12)CCO3,N#CCc1cnn2ccc3c(c12)CCO3,7
9832,Cc1ccc(S(=O)(=O)NC2CCCNC2=O)cc1,Cc1ccc(S(=O)(=O)Cl)cc1.NC1CCCNC1=O,2
9906,O=C(O)CC1CCc2c1[nH]c1ccc(-c3noc(-c4cc(OC(F)(F)F)cc(N5CCCC5)c4)n3)cc21,CCOC(=O)CC1CCc2c1[nH]c1ccc(-c3noc(-c4cc(OC(F)(F)F)cc(N5CCCC5)c4)n3)cc21,6
