,input,output,reaction_type
35,CCC(C)COC(C)=O,CC(=O)Cl.CCC(C)CO,2
39,Cc1ccc(S(=O)(=O)O)cc1,CC1(N)CCN(C(=O)OC(C)(C)C)CC1,6
107,COc1cc([N+](=O)[O-])ccc1NC(=O)OCc1ccccc1,COc1cc([N+](=O)[O-])ccc1N.O=C(Cl)OCc1ccccc1,2
259,COc1ccc(-c2cc3c(cn2)CN(C(C)=O)c2ccccc2C=C3)cn1,COc1ccc(-c2nc3c(cc2F)CN(C(C)=O)c2ccccc2C=C3)cn1,3
311,NCc1cn(-c2ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc2)nn1,C#CCN.[N-]=[N+]=Nc1ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc1,4
373,CCCOc1ccc2c(c1)C(=O)c1cccc(O)c1-2,CCCOc1ccc2c(c1)C(=O)c1cccc(OC)c1-2,6
621,CC(C)c1cc2c(c(-c3ccc(F)cc3)c1C(=O)c1ccc(OC(F)(F)F)cc1)[C@@H](O)CC(C)(C)O2,CC(C)c1cc2c(c(-c3ccc(F)cc3)c1C(=O)c1ccc(OC(F)(F)F)cc1)C(=O)CC(C)(C)O2,7
713,CCC[C@@H](N)C(=O)N1CC(F)C1,CCC[C@@H](NC(=O)OC(C)(C)C)C(=O)N1CC(F)C1,6
764,CCOC(=O)c1c(CCc2ccc(C(F)(F)F)cc2)nc2c(c1-c1ccc(C(=O)N[C@H](C)c3ccncc3)cc1)C(=O)N1CCC[C@@H]21,CCOC(=O)c1c(CCc2ccc(C(F)(F)F)cc2)nc2c(c1-c1ccc(C(=O)O)cc1)C(=O)N1CCC[C@@H]21.C[C@@H](N)c1ccncc1,2
799,CCc1cnc(N2CCC(COc3ccc(-c4ccc(S(C)(=O)=O)cc4)cc3)CC2)nc1,CCc1cnc(Cl)nc1.CS(=O)(=O)c1ccc(-c2ccc(OCC3CCNCC3)cc2)cc1,1
952,CCOC(=O)C1(CC)CCN(c2nc(Cl)ns2)CC1,CCOC(=O)C1(CC)CCNCC1.Clc1nsc(Cl)n1,1
965,O=S1(=O)c2ccccc2C=Cc2ccc(CO)cc21,O=C(O)c1ccc2c(c1)S(=O)(=O)c1ccccc1C=C2,7
1247,COc1ccc(CNCc2csnn2)c(OC)c1,COc1ccc(CN)c(OC)c1.O=Cc1csnn1,1
1310,O=C(N1CCC(c2ccc(S(=O)(=O)Nc3ncns3)cc2)CC1)C(F)(F)F,Nc1ncns1.O=C(N1CCC(c2ccc(S(=O)(=O)Cl)cc2)CC1)C(F)(F)F,2
1402,Cc1cccc2cc(C=O)n(C)c12,CN(C)C=O.Cc1cccc2ccn(C)c12,3
1576,CC(C)CNC[C@@H](O)[C@H](Cc1ccc(O)cc1)NC(=O)OC(C)(C)C,CC(C)CNC[C@@H](O)[C@H](Cc1ccc(OCc2ccccc2)cc1)NC(=O)OC(C)(C)C,6
1923,COCCc1cc(C)c(C)c(C(=O)OC)c1,CI.COC(=O)c1cc(CCO)cc(C)c1C,1
2020,CCC(C)(C)Cc1cn(S(=O)(=O)N(C)C)cn1,CCC(C)(C)Cc1c[nH]cn1.CN(C)S(=O)(=O)Cl,2
2025,OCCc1nccn1CCCc1ccc(O)cc1,OCCc1nccn1CCCc1ccc(OCc2ccccc2)cc1,6
2045,CCOC(=O)COc1cc(C2CCCN(C(=O)c3sc(-c4ccc(C(F)(F)F)cc4)nc3C)C2)ccc1C,CCOC(=O)COc1cc(C2CCCNC2)ccc1C.Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1C(=O)O,2
2328,CCOC(Cc1ccc(C(C)(C)O[SiH2]C(C)(C)C)cc1)C(=O)OCC(Cl)(Cl)Cl,CCOC(Cc1ccc(C(C)(C)O[SiH2]C(C)(C)C)cc1)C(=O)O.OCC(Cl)(Cl)Cl,2
2464,CC1(C)CC(O)CC(C)(C)O1,CC1(C)CC(=O)CC(C)(C)O1,7
2688,Cc1ccc2cccc(OCc3c(Cl)ccc([N+](=O)[O-])c3Cl)c2n1,Cc1ccc2cccc(O)c2n1.O=[N+]([O-])c1ccc(Cl)c(CCl)c1Cl,1
2737,CC[C@H](C)[C@H](N)C(=O)N(C(=O)[C@@H]1CCCN1CC(=O)c1ccc(-c2ccccc2)cc1)C(C)(C)C,CC[C@H](C)[C@H](N)C(=O)NC(C)(C)C.O=C(CN1CCC[C@H]1C(=O)O)c1ccc(-c2ccccc2)cc1,2
2906,Cc1ccccc1NC(=O)c1c(N)cccc1Cl,Cc1ccccc1NC(=O)c1c(Cl)cccc1[N+](=O)[O-],7
3015,C=CCc1cnc(N)cn1,CN(C)C=O.Nc1cnc(Br)cn1,3
3027,CCC(CC)(c1ccc(OCC(O[Si](C)(C)C(C)(C)C)C(C)(C)C)c(C)c1)c1cc(C)c(CO)s1,CCC(CC)(c1ccc(OCC(O[Si](C)(C)C(C)(C)C)C(C)(C)C)c(C)c1)c1cc(C)c(C(=O)OC)s1,7
