,input,output,reaction_type,reactants,reagents,products,any_correct,all_correct,not_common,missed
3,Cc1cc(C[C@@H](OC(=O)N2CCC(N3CCc4ccccc4NC3=O)CC2)C(=O)N2CCC(C3CCN(S(C)(=O)=O)CC3)CC2)cc2nc[nH]c12,CS(=O)(=O)N1CCC(C2CCNCC2)CC1.Cc1cc(C[C@@H](OC(=O)N2CCC(N3CCc4ccccc4NC3=O)CC2)C(=O)O)cc2nc[nH]c12,2,"['Cc1cc(C=O)cc2nc[nH]c12', 'OC(C[C@@H](OC(=O)N1CCC(N2CCc3ccccc3NC2=O)CC1)C(=O)N1CCC(C2CCN(S(C)(=O)=O)CC2)CC1)C(=O)O']",[],['Cc1cc(C[C@@H](OC(=O)N2CCC(N3CCc4ccccc4NC3=O)CC2)C(=O)N2CCC(C3CCN(S(C)(=O)=O)CC3)CC2)cc2nc[nH]c12'],0.0,0.0,"['Cc1cc(C=O)cc2nc[nH]c12', 'CS(=O)(=O)N1CCC(C2CCN(C(=O)[C@@H](CC(O)C(=O)O)OC(=O)N3CCC(N4CCc5ccccc5NC4=O)CC3)CC2)CC1']","['CS(=O)(=O)N1CCC(C2CCNCC2)CC1', 'Cc1cc(C[C@@H](OC(=O)N2CCC(N3CCc4ccccc4NC3=O)CC2)C(=O)O)cc2nc[nH]c12']"
14,COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CNC2)nc1N,COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CN(C(=O)OC(C)(C)C)C2)nc1N,6,"['NC1CNC1', 'COc1ccc(F)c(F)c1C(=O)c1cnc(Cl)nc1N']",[],['COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CNC2)nc1N'],0.0,0.0,"['NC1CNC1', 'COc1ccc(F)c(F)c1C(=O)c1cnc(Cl)nc1N']",['COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CN(C(=O)OC(C)(C)C)C2)nc1N']
33,O=C(c1ccc([N+](=O)[O-])cc1)N1CCc2cc(S(=O)(=O)N3C[C@H](c4ccccc4)NC3=O)ccc21,O=C(Cl)c1ccc([N+](=O)[O-])cc1.O=C1N[C@@H](c2ccccc2)CN1S(=O)(=O)c1ccc2c(c1)CCN2,2,"['O=C1NC[C@H](c2ccccc2)N1', 'O=C(c1ccc([N+](=O)[O-])cc1)N1CCc2cc(S(=O)(=O)Cl)ccc21']",[],['O=C(c1ccc([N+](=O)[O-])cc1)N1CCc2cc(S(=O)(=O)N3C[C@H](c4ccccc4)NC3=O)ccc21'],0.0,0.0,"['O=C1NC[C@H](c2ccccc2)N1', 'O=C(c1ccc([N+](=O)[O-])cc1)N1CCc2cc(S(=O)(=O)Cl)ccc21']","['O=C(Cl)c1ccc([N+](=O)[O-])cc1', 'O=C1N[C@@H](c2ccccc2)CN1S(=O)(=O)c1ccc2c(c1)CCN2']"
35,CCC(C)COC(C)=O,CC(=O)Cl.CCC(C)CO,2,['CCC(CC)COC(C)=O'],[],['CCC(C)COC(C)=O'],0.0,0.0,['CCC(CC)COC(C)=O'],"['CC(=O)Cl', 'CCC(C)CO']"
39,Cc1ccc(S(=O)(=O)O)cc1,CC1(N)CCN(C(=O)OC(C)(C)C)CC1,6,"['O=S(=O)=O', 'Cc1ccccc1']",[],['Cc1ccc(S(=O)(=O)O)cc1'],0.0,0.0,"['O=S(=O)=O', 'Cc1ccccc1']",['CC1(N)CCN(C(=O)OC(C)(C)C)CC1']
76,COc1ccc(C(=O)c2sc(C(C)C)cc2O)cc1,COc1ccc(C(=O)c2sc(C(C)C)cc2OCc2ccccc2)cc1,6,['COc1ccc(C(=O)c2sc(C(C)(C)O)cc2O)cc1'],[],['COc1ccc(C(=O)c2sc(C(C)C)cc2O)cc1'],0.0,0.0,['COc1ccc(C(=O)c2sc(C(C)(C)O)cc2O)cc1'],['COc1ccc(C(=O)c2sc(C(C)C)cc2OCc2ccccc2)cc1']
92,CC1CCCC(C)(C)C1CCC(C)[N+](C)(C)C,CC1CCCC(C)(C)C1CCC(C)N(C)C.CI,1,['CN(C)C'],[],['CC1CCCC(C)(C)C1CCC(C)[N+](C)(C)C'],0.0,0.0,['CN(C)C'],"['CC1CCCC(C)(C)C1CCC(C)N(C)C', 'CI']"
101,COc1cc(S(=O)(=O)N2CCC3(CC2)CN(C2CC2)C(=O)CO3)ccc1Br,COc1cc(S(=O)(=O)Cl)ccc1Br.O=C1COC2(CCNCC2)CN1C1CC1,2,['COc1ccc(Br)cc1'],[],['COc1cc(S(=O)(=O)N2CCC3(CC2)CN(C2CC2)C(=O)CO3)ccc1Br'],0.0,0.0,['COc1ccc(Br)cc1'],"['COc1cc(S(=O)(=O)Cl)ccc1Br', 'O=C1COC2(CCNCC2)CN1C1CC1']"
106,CCCCC1CN(CCc2ccccc2)CCC1=NO,CCCCC1CN(CCc2ccccc2)CCC1=O.NO,9,"['CCCCC1C=NCCC1', 'NCCc1ccccc1']",[],['CCCCC1CN(CCc2ccccc2)CCC1=NO'],0.0,0.0,"['CCCCC1C=NCCC1', 'NCCc1ccccc1']","['CCCCC1CN(CCc2ccccc2)CCC1=O', 'NO']"
108,CSc1ccccc1CN1CCC(=O)C(C(c2ccccc2)c2ccccc2)C1,CSc1ccccc1CO.O=C1CCNCC1C(c1ccccc1)c1ccccc1,1,"['OC(c1ccccc1)c1ccccc1', 'CSc1ccccc1CN1CCC(=O)CC1']",[],['CSc1ccccc1CN1CCC(=O)C(C(c2ccccc2)c2ccccc2)C1'],0.0,0.0,"['OC(c1ccccc1)c1ccccc1', 'CSc1ccccc1CN1CCC(=O)CC1']","['CSc1ccccc1CO', 'O=C1CCNCC1C(c1ccccc1)c1ccccc1']"
