target_smiles_canonical,product_smiles_canonical,reactant_smiles_canonical,stability_score,stability_assessment,stability_issues,hallucination_score,hallucination_severity
Cn1nccc1[C@]1(O)CCCC[C@H]1O,Cn1nccc1[C@]1(O)CCCC[C@H]1O,Cn1nccc1Br,100,Likely stable,,95,low
Cn1nccc1[C@]1(O)CCCC[C@H]1O,Cn1nccc1[C@]1(O)CCCC[C@H]1O,O=C1CCCC[C@H]1O,100,Likely stable,,95,low
Cn1nccc1[C@]1(O)CCCC[C@H]1O,O=C1CCCC[C@H]1O,COC1(OC)CCCC[C@H]1O,100,Likely stable,,90,low
CC1=NC2(N=C1N)c1cc(-c3cc(Cl)cc(C#N)c3)ccc1CCC21CC1,CC1=NC2(N=C1N)c1cc(-c3cc(Cl)cc(C#N)c3)ccc1CCC21CC1,CC1=NC2(N=C1N)c1cc(Br)ccc1CCC21CC1,100,Likely stable,,90,low
CC1=NC2(N=C1N)c1cc(-c3cc(Cl)cc(C#N)c3)ccc1CCC21CC1,CC1=NC2(N=C1N)c1cc(-c3cc(Cl)cc(C#N)c3)ccc1CCC21CC1,N#Cc1cc(Cl)cc(B(O)O)c1,70,Moderately stable,Contains carbene (highly reactive intermediate),90,low
CC1=NC2(N=C1N)c1cc(-c3cc(Cl)cc(C#N)c3)ccc1CCC21CC1,CC1=NC2(N=C1N)c1cc(Br)ccc1CCC21CC1,CC1=NC2(N=C1N)c1ccccc1CCC21CC1,100,Likely stable,,95,low
CC1=NC2(N=C1N)c1cc(-c3cc(Cl)cc(C#N)c3)ccc1CCC21CC1,CC1=NC2(N=C1N)c1cc(Br)ccc1CCC21CC1,NBS,100,Likely stable,,95,low
CC1=NC2(N=C1N)c1cc(-c3cc(Cl)cc(C#N)c3)ccc1CCC21CC1,CC1=NC2(N=C1N)c1ccccc1CCC21CC1,CC1=NC2(CC=Cc3ccccc32)N=C1N,,,,50,medium
CC1=NC2(N=C1N)c1cc(-c3cc(Cl)cc(C#N)c3)ccc1CCC21CC1,CC1=NC2(CC=Cc3ccccc32)N=C1N,CC1=NC(=N)N=C1N,95,Likely stable,,45,medium
CC1=NC2(N=C1N)c1cc(-c3cc(Cl)cc(C#N)c3)ccc1CCC21CC1,CC1=NC2(CC=Cc3ccccc32)N=C1N,C=Cc1ccccc1C=O,100,Likely stable,,45,medium
