product,reactants,label,target,source,hallucination_score,reason
Cn1nccc1[C@]1(O)CCCC[C@H]1O,Cn1nccc1Br.O=C1CCCC[C@H]1O,0,Cn1nccc1[C@]1(O)CCCC[C@H]1O,patent,95,
O=C1CCCC[C@H]1O,COC1(OC)CCCC[C@H]1O,0,Cn1nccc1[C@]1(O)CCCC[C@H]1O,patent,90,
CC1=NC2(N=C1N)c1cc(-c3cc(Cl)cc(C#N)c3)ccc1CCC21CC1,CC1=NC2(N=C1N)c1cc(Br)ccc1CCC21CC1.B(O)(O)c1cc(Cl)cc(C#N)c1,0,unknown,patent,90,
CC1=NC2(N=C1N)c1cc(Br)ccc1CCC21CC1,CC1=NC2(N=C1N)c1ccccc1CCC21CC1.NBS,0,CC1=NC2(N=C1N)c1cc(-c3cc(Cl)cc(C#N)c3)ccc1CCC21CC1,patent,95,
CC1=NC2(N=C1N)c1ccccc1CCC21CC1,CC1=NC2(CC=Cc3ccccc32)N=C1N,1,CC1=NC2(N=C1N)c1cc(-c3cc(Cl)cc(C#N)c3)ccc1CCC21CC1,patent,50,
CC1=NC2(CC=Cc3ccccc32)N=C1N,CC1=NC(=N)N=C1N.C=Cc1ccccc1C=O,1,CC1=NC2(N=C1N)c1cc(-c3cc(Cl)cc(C#N)c3)ccc1CCC21CC1,patent,45,
C=Cc1ccccc1C=O,C=Cc1ccccc1CO,0,CC1=NC2(N=C1N)c1cc(-c3cc(Cl)cc(C#N)c3)ccc1CCC21CC1,patent,100,
N#Cc1cc(Cl)cc(B(O)O)c1,NC(=O)c1cc(Cl)cc(B(O)O)c1,0,CC1=NC2(N=C1N)c1cc(-c3cc(Cl)cc(C#N)c3)ccc1CCC21CC1,patent,95,
CCC/C=C/[C@H]1CC[C@H](C(CO)CO)CC1,CCC/C=C/[C@H]1CC[C@H](C=O)CC1,1,CCC/C=C/[C@H]1CC[C@H](C(CO)CO)CC1,patent,75,
CCC/C=C/[C@H]1CC[C@H](C=O)CC1,CCC/C=C/[C@H]1CC[C@H](CO)CC1,0,CCC/C=C/[C@H]1CC[C@H](C(CO)CO)CC1,patent,100,
CCC/C=C/[C@H]1CC[C@H](CO)CC1,O=C[C@H]1CC[C@H](CO)CC1.CCCCS(=O)(=O)c1nnnn1-c1ccccc1,1,CCC/C=C/[C@H]1CC[C@H](C(CO)CO)CC1,patent,0,
CCCCS(=O)(=O)c1nnnn1-c1ccccc1,O=C(OO)c1cccc(Cl)c1.CCCCSc1nnnn1-c1ccccc1,1,CCC/C=C/[C@H]1CC[C@H](C(CO)CO)CC1,patent,0,
CCCCSc1nnnn1-c1ccccc1,CCCCO.Sc1nnnn1-c1ccccc1,0,CCC/C=C/[C@H]1CC[C@H](C(CO)CO)CC1,patent,95,
COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,Cc1cc(Cl)c(OCCOc2ccc([C@H]3CCN(C(=O)OC(C)(C)C)C[C@H]3C(=O)O)cc2)c(Cl)c1.COCCCc1cc(CNC2CC2)cc(OCC(C)(C)O)c1,0,COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,patent,95,
Cc1cc(Cl)c(OCCOc2ccc([C@H]3CCN(C(=O)OC(C)(C)C)C[C@H]3C(=O)O)cc2)c(Cl)c1,CC(C)(C)OC(=O)N1CC[C@H](c2ccc(O)cc2)[C@H](C(=O)O)C1.Cc1cc(Cl)c(OCCCl)c(Cl)c1,0,COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,patent,95,
CC(C)(C)OC(=O)N1CC[C@H](c2ccc(O)cc2)[C@H](C(=O)O)C1,O=C(O)[C@@H]1CNCC[C@H]1c1ccc(O)cc1.CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,1,COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,patent,75,
O=C(O)[C@@H]1CNCC[C@H]1c1ccc(O)cc1,N#C[C@@H]1CNCC[C@H]1c1ccc(O)cc1,0,COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,patent,85,
N#C[C@@H]1CNCC[C@H]1c1ccc(O)cc1,Oc1ccc([C@@H]2CCNC[C@H]2Br)cc1.C#N,0,COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,patent,95,
Oc1ccc([C@@H]2CCNC[C@H]2Br)cc1,Oc1ccc([C@H]2CCCNC2)cc1,0,COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,patent,90,
Oc1ccc([C@H]2CCCNC2)cc1,COc1ccc([C@H]2CCCNC2)cc1,0,COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,patent,95,
CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,C=C(C)C.CC(C)(C)OC(=O)OC(=O)O,0,COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,patent,95,
CC(C)(C)OC(=O)OC(=O)O,C=C(C)C.O=C(O)OC(=O)O,0,COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,patent,95,
Cc1cc(Cl)c(OCCCl)c(Cl)c1,ClCCBr.Cc1cc(Cl)c(O)c(Cl)c1,0,COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,patent,95,
COCCCc1cc(CNC2CC2)cc(OCC(C)(C)O)c1,COC/C=C/c1cc(CNC2CC2)cc(OCC(C)(C)O)c1,0,COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,patent,100,
COC/C=C/c1cc(CNC2CC2)cc(OCC(C)(C)O)c1,NC1CC1.COC/C=C/c1cc(C=O)cc(OCC(C)(C)O)c1,0,COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,patent,95,
COC/C=C/c1cc(C=O)cc(OCC(C)(C)O)c1,COC/C=C/c1cc(CO)cc(OCC(C)(C)O)c1,0,COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,patent,100,
COC/C=C/c1cc(CO)cc(OCC(C)(C)O)c1,COC/C=C/c1cc(OCC(C)(C)O)cc(C(=O)OC)c1,0,COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,patent,95,
COC/C=C/c1cc(OCC(C)(C)O)cc(C(=O)OC)c1,COC/C=C/B1OC(C)(C)C(C)(C)O1.COC(=O)c1cc(Br)cc(OCC(C)(C)O)c1,1,COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,patent,45,
