hallucination_score,label,primary_hallucination_tag,product,reactants,reason,secondary_hallucination_tag,source,target
,1,atom_or_mass_balance_error,O=C1[C@@]2(CC(C)C)N([C@]3([H])C(N2)=O)[C@](CC(C)C)(C(O[C@H]3C)=O)N1,O=C1[C@@]2(CC(C)C)N([C@]3([H])C(N2)=O)[C@](CC(C)C)(C(O)=O)N1[C@H]3,Carbon missing beside acetyl group; 6-membered N-ring reduced to 5-membered; ring opening from N won't give hydroxy,atom_loss,expert,Ohauamine C
,1,structural_topology_error,O=C1[C@@]2(CC(C)C)N([C@]3([H])C(N2)=O)[C@](CC(C)C)(C(O)=O)N1[C@H]3,O=C1[C@@]2(CC(C)C)N([C@]3([H])C(N2)=O)[C@](CC(C)C)(C(=O)N(C)OC)N1[C@H]3,Several atom attachments hallucinated; three-membered ring formed; bond between carbonyl and N; carbon count increased,ring_size_change,expert,Ohauamine C
,1,structural_topology_error,O=C1[C@@]2(CC(C)C)N([C@]3([H])C(N2)=O)[C@](CC(C)C)(C(=O)N(C)OC)N1[C@H]3,CN(C)O,Sudden change in atom count; molecule reduced to small starting material,major_scaffold_loss,expert,Ohauamine C
,1,non_disconnection_or_no_progress,ClC(C(OC)=C1)=CC2=C1[C@@H]3[C@@H](N(C)CC2)CCC4=CC=CC=C43,ClC(C(OC)=C1)=CC2=C1[C@@H]3[C@@H](N(C)CCC2)CC4=CC=CC=C43,6-membered ring reduced to 5-membered; no change in rest of molecule; no chemical reaction seen,no_fragment_simplification,expert,Tetracyclic Azepine
,1,non_disconnection_or_no_progress,ClC(C(OC)=C1)=CC2=C1[C@@H]3[C@@H](N(C)CCC2)CC4=CC=CC=C43,ClC(C(OC)=C1)=CC2=C1[C@@H]3[C@@H](NCCC2)CC4=CC=CC=C43,Whole 6-membered ring missing from 7-membered ring; no chemical reaction; reduction of 6-ring to benzene is hallucination,no_fragment_simplification,expert,Tetracyclic Azepine
,1,regio_or_site_error,ClC(C(OC)=C1)=CC2=C1[C@@H]3[C@@H](NCCC2)CC4=CC=CC=C43,ClC1=CC2=C(C(O)=C1)[C@@H]3[C@@H](NCCC2)CC4=CC=CC=C43,Position hallucination of functional group hydroxy,wrong_functional_group_position,expert,Tetracyclic Azepine
,1,structural_topology_error,ClC1=CC2=C(C(O)=C1)[C@@H]3[C@@H](NCCC2)CC4=CC=CC=C43,O=C1CCCc2cc(Cl)cc(O)c21.NC1Cc2ccccc21,Molecule splits into two fragments with hallucinated connecting carbons; 7-membered ring converted to unstable 4-membered ring,fragment_connector_hallucination,expert,Tetracyclic Azepine
,1,unstable_or_nonviable_intermediate,NC1Cc2ccccc21,ON=C1Cc2ccccc21,Wrong starting material; very unstable starting material produced,strained_intermediate,expert,Tetracyclic Azepine
,1,protecting_group_strategy_error,O[C@@](C[C@@H](C)C([C@@H]1C)=O)(C)[C@@H]([C@@H](C)[C@@H]([C@@H](C)C(O[C@H](CC)[C@H](C)[C@@H]1O)=O)O[C@@H]2O[C@@H](C)[C@@H]([C@](C2)(C)OC)O)O,O[C@@](C[C@@H](C)C([C@@H]1C)=O)(C)[C@@H]([C@@H](C)[C@@H]([C@@H](C)C(O[C@H](CC)[C@H](C)[C@@H]1O)=O)O[C@@H]2O[C@@H](C)[C@@H]([C@](C2)(C)O)O)O,Methyl group hallucination on protective group (should be methoxy); covalency hallucination on carbon,unnecessary_protection,expert,Erythromycin B
,1,non_disconnection_or_no_progress,O[C@@](C[C@@H](C)C([C@@H]1C)=O)(C)[C@@H]([C@@H](C)[C@@H]([C@@H](C)C(O[C@H](CC)[C@H](C)[C@@H]1O)=O)O)O,CC[C@H]1OC(=O)[C@H](C)[C@H](O)[C@H](C)[C@H](O)[C@](C)(O)C[C@H](C)[C@H](O)[C@H](C)[C@H](O)[C@H]1C,"Molecule core unchanged; only reduction, no real progress",core_unchanged,expert,Erythromycin B
,1,non_disconnection_or_no_progress,CC[C@H]1OC(=O)[C@H](C)[C@H](O)[C@H](C)[C@H](O)[C@](C)(O)C[C@H](C)[C@H](O)[C@H](C)[C@H](O)[C@H]1C,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@H](O)[C@](C)(O)C[C@H](C)[C@H](O)[C@H](C)[C@H](O)[C@H]1C,"Molecule core unchanged; only reduction, no real progress",core_unchanged,expert,Erythromycin B
,1,non_disconnection_or_no_progress,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@H](O)[C@](C)(O)C[C@H](C)[C@H](O)[C@H](C)[C@H](O)[C@H]1C,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@H](O)[C@](C)(O)C[C@H](C)C(=O)[C@H](C)[C@H](O)[C@H]1C,"Molecule core unchanged; only reduction, no real progress",core_unchanged,expert,Erythromycin B
,1,non_disconnection_or_no_progress,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@H](O)[C@](C)(O)C[C@H](C)C(=O)[C@H](C)[C@H](O)[C@H]1C,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)C(=O)[C@](C)(O)C[C@H](C)C(=O)[C@H](C)C(=O)[C@H]1C,"Molecule core unchanged; only reduction, no real progress",core_unchanged,expert,Erythromycin B
,1,structural_topology_error,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)C(=O)[C@](C)(O)C[C@H](C)C(=O)[C@H](C)C(=O)[C@H]1C,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)C(=O)1.O=C[C@H](C)C[C@](C)(O)C(=O)[C@H](C)C(=O)[C@H](C)C(=O)O,Fragment breaks into two parts with 7-membered ring formation,invented_ring,expert,Erythromycin B
,1,non_disconnection_or_no_progress,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)C(=O)1,CC[C@H]1OC(=O)[C@H](C)C(O)[C@H](C)C(=O)1,Pure hallucination; molecule didn't break into smaller species,no_fragment_simplification,expert,Erythromycin B
,1,non_disconnection_or_no_progress,CC[C@H]1OC(=O)[C@H](C)C(O)[C@H](C)C(=O)1,CC[C@H]1OC(=O)[C@H](C)C(O)[C@H](C)CO1,Pure hallucination; molecule didn't break into smaller species,no_fragment_simplification,expert,Erythromycin B
,1,non_disconnection_or_no_progress,CC[C@H]1OC(=O)[C@H](C)C(O)[C@H](C)CO1,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)CO1,Pure hallucination; molecule didn't break into smaller species,no_fragment_simplification,expert,Erythromycin B
