product,reactants,target,label,hallucination_score,category,source
CC(C)C[C@]12NC(=O)[C@@H]3[C@H](C)OC(=O)[C@](CC(C)C)(NC1=O)N32,CC[C@@H]1OC(=O)[C@]2(CC(C)C)NC(=O)[C@]3(CC(C)C)NC(=O)[C@H]1N32,CC(C)C[C@]12NC(=O)[C@@H]3[C@H](C)OC(=O)[C@](CC(C)C)(NC1=O)N32,1,55,unsupported_skeletal_edit,reviewed_ohuamine
C=C(C)C[C@]12NC(=O)[C@]3(CC(C)C)N(C(=O)OC(C)(C)C)C(=O)[C@H]([C@H](CC)OC1=O)N32,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.C=C(C)C[C@]12NC(=O)[C@]3(CC(C)C)N(C(=O)OCc4ccccc4)C(=O)[C@H]([C@H](CC)OC1=O)N32,CC(C)C[C@]12NC(=O)[C@@H]3[C@H](C)OC(=O)[C@](CC(C)C)(NC1=O)N32,1,0,protecting_group_swap_fragment_loss,reviewed_ohuamine
C=C(C)C[C@]12NC(=O)[C@]3(CC(C)C)N(Cc4ccccc4)C(=O)[C@H]([C@H](C)OC1=O)N32,CC(=O)C[C@]12NC(=O)[C@]3(CC(C)C)N(Cc4ccccc4)C(=O)[C@H]([C@H](C)OC1=O)N32,CC(C)C[C@]12NC(=O)[C@@H]3[C@H](C)OC(=O)[C@](CC(C)C)(NC1=O)N32,1,90,missing_methylene_source,reviewed_ohuamine
CC(C)C[C@]12NC(=O)[C@@H]3[C@H](C)OC(=O)[C@](CC(C)C)(NC1=O)N32,C=C(C)C[C@]12NC(=O)[C@]3(CC(C)C)NC(=O)[C@H]([C@H](CC)OC1=O)N32,CC(C)C[C@]12NC(=O)[C@@H]3[C@H](C)OC(=O)[C@](CC(C)C)(NC1=O)N32,0,100,valid_hydrogenation,reviewed_ohuamine
C=C(C)C[C@]12NC(=O)[C@]3(CC(C)C)NC(=O)[C@H]([C@H](CC)OC1=O)N32,C=C(C)C[C@]12NC(=O)[C@]3(CC(C)C)N(C(=O)OC(C)(C)C)C(=O)[C@H]([C@H](CC)OC1=O)N32,CC(C)C[C@]12NC(=O)[C@@H]3[C@H](C)OC(=O)[C@](CC(C)C)(NC1=O)N32,0,75,valid_boc_deprotection,reviewed_ohuamine
CC(C)C[C@@]12C(=O)N[C@@]3(CC(C)C)C(=O)O[C@@H](C)[C@@H](C(=O)N1Cc1ccccc1)N23,C=C(C)C[C@@]12C(=O)N[C@@]3(CC(C)C)C(=O)O[C@@H](C)[C@@H](C(=O)N1Cc1ccccc1)N23,CC(C)C[C@]12NC(=O)[C@@H]3[C@H](C)OC(=O)[C@](CC(C)C)(NC1=O)N32,0,100,valid_hydrogenation,reviewed_ohuamine
C=C(C)C[C@@]12C(=O)N[C@@]3(CC(C)C)C(=O)O[C@@H](C)[C@@H](C(=O)N1Cc1ccccc1)N23,CC(C)C[C@@]12C(=O)N[C@@]3(CC(C)C)C(=O)O[C@@H](C)[C@@H](C(=O)N1Cc1ccccc1)N23,CC(C)C[C@]12NC(=O)[C@@H]3[C@H](C)OC(=O)[C@](CC(C)C)(NC1=O)N32,0,95,valid_debenzylation,reviewed_ohuamine
C=C(C)C[C@@]12C(=O)N[C@@]3(CC(C)C)C(=O)O[C@@H](C)[C@@H](C(=O)N1Cc1ccccc1)N23,C=C(C)C[C@]1(NCc2ccccc2)C(=O)N[C@@]2(CC(C)C)C(=O)O[C@@H](C)[C@@H](C(=O)Cl)N12,CC(C)C[C@]12NC(=O)[C@@H]3[C@H](C)OC(=O)[C@](CC(C)C)(NC1=O)N32,0,45,valid_lactam_closure,reviewed_ohuamine
C=C(C)C[C@]1(NCc2ccccc2)C(=O)N[C@@]2(CC(C)C)C(=O)O[C@@H](C)[C@@H](C(=O)Cl)N12,O=C(Cl)C(=O)Cl.C=C(C)C[C@]1(NCc2ccccc2)C(=O)N[C@@]2(CC(C)C)C(=O)O[C@@H](C)[C@@H](C(=O)O)N12,CC(C)C[C@]12NC(=O)[C@@H]3[C@H](C)OC(=O)[C@](CC(C)C)(NC1=O)N32,0,85,valid_acid_chloride_formation,reviewed_ohuamine
C=C(C)C[C@]1(NCc2ccccc2)C(=O)N[C@@]2(CC(C)C)C(=O)O[C@@H](C)[C@@H](C(=O)O)N12,C=C(C)C[C@]1(NCc2ccccc2)C(=O)N[C@@]2(CC(C)C)C(=O)O[C@@H](C)[C@@H](C(=O)OCC)N12,CC(C)C[C@]12NC(=O)[C@@H]3[C@H](C)OC(=O)[C@](CC(C)C)(NC1=O)N32,0,90,valid_ester_hydrolysis,reviewed_ohuamine
C=C(C)C[C@]1(NCc2ccccc2)C(=O)N[C@@]2(CC(C)C)C(=O)O[C@@H](C)[C@@H](C(=O)OCC)N12,O=Cc1ccccc1.C=C(C)C[C@]1(N)C(=O)N[C@@]2(CC(C)C)C(=O)O[C@@H](C)[C@@H](C(=O)OCC)N21,CC(C)C[C@]12NC(=O)[C@@H]3[C@H](C)OC(=O)[C@](CC(C)C)(NC1=O)N32,0,95,valid_reductive_amination,reviewed_ohuamine
CC(C)C[C@]12NC(=O)[C@@H]3[C@H](C)OC(=O)[C@](CC(C)C)(NC1=O)N32,CC(C)C[C@]12NC(=O)[C@@H]3[C@H](CO)OC(=O)[C@](CC(C)C)(NC1=O)N32,CC(C)C[C@]12NC(=O)[C@@H]3[C@H](C)OC(=O)[C@](CC(C)C)(NC1=O)N32,1,35,unsupported_skeletal_edit,synthetic_counterexample
