product,reactants,target,label,hallucination_score,category,source
CC(C)C[C@]12NC(=O)[C@@H]3[C@H](C)OC(=O)[C@](CC(C)C)(NC1=O)N32,CC[C@@H]1OC(=O)[C@]2(CC(C)C)NC(=O)[C@]3(CC(C)C)NC(=O)[C@H]1N32,CC(C)C[C@]12NC(=O)[C@@H]3[C@H](C)OC(=O)[C@](CC(C)C)(NC1=O)N32,1,55,unsupported_skeletal_edit,reviewed_ohuamine_v3
CC(C)C[C@]12NC(=O)[C@@H]3[C@H](C)OC(=O)[C@](CC(C)C)(NC1=O)N32,CC(C)=CC[C@]12NC(=O)[C@]3(CC(C)C)NC(=O)[C@H]([C@H](CC)OC1=O)N32,CC(C)C[C@]12NC(=O)[C@@H]3[C@H](C)OC(=O)[C@](CC(C)C)(NC1=O)N32,1,60,unsupported_skeletal_edit,synthetic_v3
CC(C)C[C@]12NC(=O)[C@@H]3[C@H](C)OC(=O)[C@](CC(C)C)(NC1=O)N32,CCC[C@H]1OC(=O)[C@]2(CC(C)C)NC(=O)[C@]3(CC(C)C)NC(=O)[C@H]1N32,CC(C)C[C@]12NC(=O)[C@@H]3[C@H](C)OC(=O)[C@](CC(C)C)(NC1=O)N32,1,65,unsupported_skeletal_edit,synthetic_v3
C=C(C)C[C@]12NC(=O)[C@]3(CC(C)C)NC(=O)[C@H]([C@H](CC)OC1=O)N32,C=C(C)C[C@]12NC(=O)[C@]3(CC(C)C)N(C(=O)OC(C)(C)C)C(=O)[C@H]([C@H](CC)OC1=O)N32,CC(C)C[C@]12NC(=O)[C@@H]3[C@H](C)OC(=O)[C@](CC(C)C)(NC1=O)N32,0,80,valid_boc_deprotection,reviewed_ohuamine_v3
C=C(C)C[C@]12NC(=O)[C@]3(CC(C)C)NC(=O)[C@H]([C@H](CC)OC1=O)N32,C=C(C)C[C@]12NC(=O)[C@]3(CC(C)C)N(C(=O)OC(C)(C)C)C(=O)[C@H]([C@H](CC)OC1=O)N32,CC(C)C[C@]12NC(=O)[C@@H]3[C@H](C)OC(=O)[C@](CC(C)C)(NC1=O)N32,0,82,valid_boc_deprotection,synthetic_v3
CC(C)C[C@]12NC(=O)[C@@H]3[C@H](C)OC(=O)[C@](CC(C)C)(NC1=O)N32,CC(C)C[C@@]12C(=O)N[C@@]3(CC(C)C)C(=O)O[C@@H](C)[C@@H](C(=O)N1Cc1ccccc1)N23,CC(C)C[C@]12NC(=O)[C@@H]3[C@H](C)OC(=O)[C@](CC(C)C)(NC1=O)N32,0,92,valid_debenzylation,reviewed_ohuamine_v3
CC(C)C[C@]12NC(=O)[C@@H]3[C@H](C)OC(=O)[C@](CC(C)C)(NC1=O)N32,CC(C)C[C@@]12C(=O)N[C@@]3(CC(C)C)C(=O)O[C@@H](C)[C@@H](C(=O)N1Cc1ccccc1)N23,CC(C)C[C@]12NC(=O)[C@@H]3[C@H](C)OC(=O)[C@](CC(C)C)(NC1=O)N32,0,94,valid_debenzylation,synthetic_v3
C=C(C)C[C@@]12C(=O)N[C@@]3(CC(C)C)C(=O)O[C@@H](C)[C@@H](C(=O)N1Cc1ccccc1)N23,C=C(C)C[C@]1(NCc2ccccc2)C(=O)N[C@@]2(CC(C)C)C(=O)O[C@@H](C)[C@@H](C(=O)Cl)N12,CC(C)C[C@]12NC(=O)[C@@H]3[C@H](C)OC(=O)[C@](CC(C)C)(NC1=O)N32,0,55,valid_lactam_closure,reviewed_ohuamine_v3
C=C(C)C[C@@]12C(=O)N[C@@]3(CC(C)C)C(=O)O[C@@H](C)[C@@H](C(=O)N1Cc1ccccc1)N23,C=C(C)C[C@]1(NCc2ccccc2)C(=O)N[C@@]2(CC(C)C)C(=O)O[C@@H](C)[C@@H](C(=O)Cl)N12,CC(C)C[C@]12NC(=O)[C@@H]3[C@H](C)OC(=O)[C@](CC(C)C)(NC1=O)N32,0,58,valid_lactam_closure,synthetic_v3
CC(C)C[C@]12NC(=O)[C@@H]3[C@H](C)OC(=O)[C@](CC(C)C)(NC1=O)N32,CC(C)C[C@@]12C(=O)N[C@@]3(CC(C)C)C(=O)O[C@@H](C)[C@@H](C(=O)N1CCc1ccccc1)N23,CC(C)C[C@]12NC(=O)[C@@H]3[C@H](C)OC(=O)[C@](CC(C)C)(NC1=O)N32,0,90,valid_debenzylation,synthetic_v3
CC(C)C[C@@]12C(=O)N[C@@]3(CC(C)C)C(=O)O[C@@H](C)[C@@H](C(=O)N1Cc1ccccc1)N23,C=C(C)C[C@@]12C(=O)N[C@@]3(CC(C)C)C(=O)O[C@@H](C)[C@@H](C(=O)N1Cc1ccccc1)N23,CC(C)C[C@]12NC(=O)[C@@H]3[C@H](C)OC(=O)[C@](CC(C)C)(NC1=O)N32,0,97,valid_hydrogenation,synthetic_v3
